SpT,PS1gmag,PS1rmag,PS1imag,PS1zmag,PS1ymag,Jmag,Hmag,Ksmag,W1mag,W2mag,W3mag,W4mag,label
K0,10.5937,9.1536,8.7121,8.6403,8.0353,7.382,7.01,6.845,6.788,6.853,6.821,6.779,false
A,10.3962,10.375,11.6059,11.1363,11.1822,9.933,9.901,9.871,9.781,9.811,9.781,9.129,false
M,11.736,10.184,9.402,8.88,8.593,7.161,6.311,6.002,5.933,5.954,5.913,5.788,false
G5,10.654,10.458,10.42,10.435,10.453,9.639,9.45,9.395,9.341,9.382,9.249,7.783,false
K2/3III,9.694,8.527,8.005,7.689,7.493,6.294,5.483,5.281,5.198,5.149,5.23,5.138,false
K1III,9.491,8.682,8.376,8.22,8.107,7.043,6.492,6.332,6.304,6.227,6.328,6.459,false
K1(III),10.795,9.781,9.336,9.067,8.906,7.75,7.078,6.892,6.753,6.942,6.848,6.786,false
K1(III),10.9526,9.4662,9.3188,10.5448,10.5846,7.75,7.078,6.892,6.753,6.942,6.848,6.786,false
K0,11.274,10.373,10.031,9.857,9.725,8.622,7.956,7.819,7.653,7.804,7.699,7.704,false
F5V,8.553,8.342,8.3,8.317,8.336,7.508,7.33,7.272,7.112,7.239,7.239,7.243,false
M1V,18.3591,17.2575,16.5809,16.0107,15.6301,14.299,13.702,13.504,13.253,13.158,11.749,8.291,false
K0,10.675,10.114,9.93,9.857,9.803,8.838,8.382,8.306,8.193,8.249,8.18,8.077,false
M4+D,20.9612,19.7351,18.197,17.5002,17.1639,15.821,15.238,15.314,14.933,14.764,12.046,8.877,false
M2V,19.4292,18.1791,17.27,16.8594,16.6395,15.54,14.833,14.496,14.585,14.533,12.26,8.777,false
M6V,21.696,20.5697,19.0298,18.3191,17.9762,16.543,16.095,15.604,15.546,15.45,12.326,9.028,false
K0,10.385,9.77,9.569,9.489,9.42,8.427,7.993,7.864,7.777,7.859,7.8,7.856,false
F5,9.694,9.63,9.64,9.628,9.637,8.892,8.77,8.708,8.68,8.7,8.657,9.146,false
K0,8.439,7.763,7.498,7.361,7.28,6.219,5.791,5.662,5.785,5.595,5.627,5.584,false
K2,10.4864,9.8223,8.4658,9.2978,14.7562,7.721,7.192,7.03,7.586,7.01,6.964,6.918,false
F3V+F1m,7.698,7.618,7.616,7.592,7.605,6.84,6.734,6.67,7.968,6.655,6.709,6.585,false
A2,8.512,8.56,8.647,8.706,8.729,8.032,7.968,7.909,7.894,7.935,7.9,7.626,false
A2,8.7397,8.6044,9.3209,8.9773,9.0387,8.032,7.968,7.909,7.894,7.935,7.9,7.626,false
K0,9.543,8.777,8.451,8.267,8.163,7.091,6.58,6.445,6.381,6.366,6.386,6.39,false
K0,10.3375,9.3865,8.9323,8.5602,8.7064,7.091,6.58,6.445,6.381,6.366,6.386,6.39,false
G5,10.5708,9.4895,8.6838,8.4962,9.6729,7.737,7.185,7.011,6.575,7.021,6.924,6.948,false
G5,9.72,9.067,8.767,8.595,8.519,7.488,7.064,6.96,6.904,6.967,6.929,6.934,false
M3V,20.8653,19.6857,18.608,18.0982,17.8654,16.324,15.971,15.523,15.749,15.336,12.208,8.904,false
M1V,20.2447,19.0379,18.1722,17.7814,17.5608,16.412,16.081,15.483,15.647,15.307,12.468,8.826,false
M4V,21.2286,20.085,18.6925,18.0437,17.742,16.416,15.922,15.42,15.6,15.498,12.353,9.081,false
G5,10.529,9.895,9.642,9.512,9.439,8.437,7.985,7.875,7.773,7.854,7.762,7.98,false
G5,10.6313,10.185,9.1073,8.7333,9.1042,8.437,7.985,7.875,7.773,7.854,7.762,7.98,false
M3V,20.6718,19.3508,18.1536,17.6087,17.3347,16.181,15.449,15.458,15.062,14.858,12.16,8.517,false
M0V,16.499,16.7993,16.0507,16.2656,15.6818,14.014,13.4,13.026,12.812,12.772,12.397,8.76,false
M4V,21.6951,20.5709,19.1269,18.4543,18.1147,16.93,15.898,15.79,15.808,15.836,12.363,8.505,false
F5,10.489,10.293,10.265,10.3,10.326,9.529,9.298,9.248,9.218,9.239,9.229,8.382,false
F8,10.842,10.557,10.46,10.428,10.425,9.583,9.349,9.252,9.206,9.25,9.177,8.326,false
G5,10.019,9.404,9.203,9.121,9.055,8.075,7.563,7.493,7.346,7.466,7.391,7.4,false
A2,10.2552,9.7854,9.4119,9.8833,9.8872,8.775,8.702,8.649,8.63,8.65,8.613,8.126,false
A0,7.697,7.761,7.848,7.918,8.06,7.365,7.34,7.345,7.22,7.306,7.336,7.275,false
K2,10.005,8.916,8.395,8.062,7.881,6.669,5.967,5.778,5.769,5.727,5.706,5.624,false
K2,10.0567,8.4615,8.5204,10.7587,8.4506,6.669,5.967,5.778,5.769,5.727,5.706,5.624,false
A,8.987,9.135,9.288,9.397,9.446,8.797,8.777,8.75,8.705,8.733,8.693,8.317,false
B8,9.663,9.725,9.817,9.878,9.906,9.225,9.159,9.11,9.121,9.151,9.145,8.428,false
M0V,18.3123,17.1507,16.599,16.3357,16.1634,15.062,14.319,14.159,14.175,14.268,12.873,9.18,false
K2,10.637,9.475,8.93,8.583,8.387,7.131,6.422,6.219,6.126,6.134,6.152,6.081,false
M6,10.923,8.984,7.94,7.224,6.843,5.304,4.253,3.78,3.647,3.511,3.584,3.43,false
G5V:,11.012,10.871,10.861,10.89,10.904,10.115,9.957,9.926,9.868,9.874,9.817,9.212,false
G5V:,12.0279,11.6059,13.1766,11.4918,12.1809,10.115,9.957,9.926,9.868,9.874,9.817,9.212,false
G5V:,12.1664,11.2635,11.0087,10.8903,10.9963,10.115,9.957,9.926,9.868,9.874,9.817,9.212,false
A1,12.166,12.26,12.38,12.467,12.4699,11.82,11.793,11.738,11.689,11.729,11.641,9.307,false
B9,11.946,12.036,12.149,12.227,12.2838,11.573,11.558,11.503,11.417,11.458,11.913,9.314,false
B9,12.773,12.2469,14.7135,12.3384,12.2796,11.573,11.558,11.503,11.417,11.458,11.913,9.314,false
B9,13.7208,12.3841,12.0352,,12.2765,11.573,11.558,11.503,11.417,11.458,11.913,9.314,false
A0,8.52,8.512,8.59,8.675,8.704,7.983,7.892,7.873,7.754,7.808,7.809,7.986,false
G4,12.239,12.274,12.354,12.411,12.4416,11.725,11.657,11.599,11.541,11.575,11.451,9.0,false
G0:,12.371,12.173,12.147,12.182,12.2556,11.399,11.184,11.147,11.018,11.078,11.187,9.241,false
A1:,11.67,11.819,11.972,12.081,12.1482,11.48,11.492,11.421,11.257,11.334,11.622,8.827,false
G7,12.09,11.597,11.371,11.248,11.203,10.244,9.923,9.819,9.76,9.826,9.782,8.972,false
G4,12.9046,11.5678,13.6429,11.7218,11.1315,10.247,10.017,9.937,9.882,9.921,9.809,9.208,false
G4,11.5878,11.2507,11.2712,11.2119,11.1492,10.247,10.017,9.937,9.882,9.921,9.809,9.208,false
B8,11.0627,11.4164,11.397,11.4486,12.1096,10.561,10.533,10.464,10.428,10.461,10.536,8.953,false
B8,11.4099,11.5388,11.5659,11.2387,11.6868,10.561,10.533,10.464,10.428,10.461,10.536,8.953,false
G6,12.395,12.277,12.258,12.244,12.2349,11.446,11.326,11.24,11.191,11.229,11.087,8.966,false
A2,12.319,12.397,12.51,12.593,12.603,11.935,11.886,11.855,11.736,11.775,11.59,8.814,false
A5?,10.805,10.795,10.847,10.883,10.89,10.156,10.118,10.011,9.968,9.993,9.983,8.7,false
G3,12.56,12.387,12.357,12.371,12.4194,11.579,11.427,11.354,11.3,11.338,11.397,8.863,false
A2,11.845,11.885,11.951,12.012,12.0893,11.433,11.416,11.413,11.367,11.384,11.341,9.125,false
A2,9.744,9.821,9.928,10.003,10.031,9.352,9.292,9.259,9.191,9.218,9.2,8.81,false
K0,8.6,7.775,7.408,7.195,7.078,5.975,5.437,5.291,5.259,5.167,5.267,5.193,false
A,8.901,8.762,8.767,8.814,8.845,8.065,7.906,7.861,7.798,7.845,7.856,7.957,false
A,9.2447,9.1027,8.5013,7.9727,7.3231,8.065,7.906,7.861,7.798,7.845,7.856,7.957,false
F7V,8.9424,11.4309,8.5081,9.3094,8.4691,7.621,7.393,7.311,7.221,7.322,7.32,7.2,false
K0,10.112,9.288,8.949,8.755,8.64,7.548,6.976,6.851,6.767,6.833,6.778,6.71,false
G0,10.034,9.708,9.628,9.63,9.63,8.745,8.452,8.433,8.358,8.407,8.368,8.575,false
M0,10.062,8.776,8.17,7.802,7.578,6.309,5.489,5.271,5.205,5.152,5.204,5.096,false
A,8.394,8.696,8.954,9.137,9.241,8.672,8.731,8.71,8.727,8.763,8.775,9.025,false
A0,7.888,8.163,8.404,8.578,8.661,8.071,8.12,8.105,8.1,8.145,8.152,7.945,false
A2,9.317,9.045,8.991,9.01,9.024,8.184,7.922,7.885,7.796,7.842,7.768,7.662,false
A2,9.1251,9.2774,8.8275,8.6976,8.9186,8.184,7.922,7.885,7.796,7.842,7.768,7.662,false
G5,9.612,8.928,8.621,8.446,8.364,7.327,6.859,6.791,6.701,6.742,6.712,6.66,false
sdB,11.3109,13.3218,11.9781,11.939,12.2055,11.644,11.675,11.705,11.738,11.772,12.009,8.675,false
sdB,11.293,11.616,11.883,12.071,12.1374,11.644,11.675,11.705,11.738,11.772,12.009,8.675,false
K1III-IV,8.012,7.275,6.968,6.802,6.705,5.647,5.153,5.026,4.971,4.901,5.006,4.93,false
K1III,8.862,7.961,7.622,7.446,7.315,6.216,5.591,5.429,5.465,5.227,5.363,5.351,false
F3IV,9.321,9.206,9.218,9.262,9.284,8.51,8.389,8.328,8.225,8.275,8.28,8.204,false
M7.5,20.92,19.41,16.77,15.43,14.67,13.07,12.38,11.97,11.71,11.52,11.01,8.64,false
M8,20.85,19.15,16.41,14.94,14.06,12.4,11.83,11.4,11.06,10.75,10.27,8.93,false
M9,21.34,19.95,17.11,15.69,14.84,13.27,12.62,12.2,11.89,11.62,11.31,8.83,false
M6,18.6,17.29,14.95,13.91,13.36,11.97,11.43,11.09,10.88,10.66,10.52,8.71,false
M9,,20.97,18.24,16.74,15.84,14.14,13.55,13.13,12.76,12.35,11.64,8.87,false
M7,20.79,19.38,16.75,15.47,14.72,13.12,12.45,12.06,11.84,11.64,11.36,8.45,false
M8,20.28,18.81,16.21,14.94,14.21,12.6,11.94,11.5,11.28,11.02,10.74,9.43,false
M9,21.29,19.58,16.88,15.45,14.55,12.79,12.07,11.62,11.34,11.1,10.71,9.03,false
M9.5,20.75,18.56,16.17,14.73,13.77,11.99,11.08,10.54,10.17,9.91,9.39,8.76,false
M9.5beta,,22.01,20.57,19.08,18.09,16.19,15.29,14.96,14.62,14.07,12.51,9.06,false
M7,20.76,19.33,16.56,15.23,14.44,12.82,12.18,11.72,11.5,11.29,11.28,8.69,false
M9.7FLD-G,,21.3,18.66,17.18,16.24,14.4,13.71,13.29,13.0,12.69,11.77,8.6,false
M9beta,,21.04,18.51,16.9,15.89,13.89,13.18,12.55,12.09,11.64,11.29,9.01,false
M8.5,21.83,20.19,17.46,16.01,15.09,13.34,12.58,12.1,11.81,11.54,11.12,8.58,false
M8,,20.22,17.72,16.27,15.34,13.61,12.98,12.54,12.19,11.89,11.38,8.75,false
sdL7,,,21.29,19.35,18.29,16.32,15.45,14.97,14.32,13.87,12.17,8.48,false
M8pec,,21.11,18.26,16.79,15.95,14.36,13.82,13.43,13.11,12.75,12.52,8.85,false
M7,20.84,19.44,16.81,15.59,14.89,13.34,12.71,12.28,12.11,11.83,11.61,8.9,false
M9,20.29,18.33,15.93,14.48,13.54,11.69,10.93,10.43,10.08,9.85,9.36,8.85,false
d/sdM8.5,,,19.58,18.09,17.33,15.81,15.33,14.97,14.42,13.99,11.86,8.97,false
M9,,20.99,18.37,16.93,16.02,14.21,13.51,12.97,12.76,12.5,12.38,8.75,false
M8,21.03,19.47,16.81,15.45,14.65,12.99,12.29,11.85,11.62,11.43,10.98,8.4,false
M8.5,,20.85,18.24,16.72,15.83,14.04,13.36,12.86,12.48,12.21,11.89,8.81,false
M7.5,20.87,19.39,16.91,15.7,15.03,13.42,12.76,12.3,12.12,11.95,11.71,8.75,false
M7.5,21.12,19.62,17.06,15.81,15.09,13.47,12.8,12.35,12.12,11.88,11.4,8.82,false
M7.5,20.22,18.86,16.06,14.72,13.95,12.3,11.65,11.23,10.94,10.71,10.35,9.01,false
M9.5,21.67,19.99,17.77,16.35,15.38,13.45,12.58,11.98,11.58,11.32,10.7,8.76,false
M8,,18.03,15.32,13.98,13.23,11.62,10.95,10.54,10.33,10.11,9.82,9.21,false
M8,20.64,19.17,16.49,15.2,14.46,12.85,12.22,11.84,11.59,11.4,11.11,8.97,false
M7.1:INT-G,20.86,19.57,17.01,15.85,15.25,13.79,13.28,12.9,12.69,12.46,12.25,9.42,false
M7,20.26,18.85,16.47,15.34,14.71,13.23,12.65,12.26,11.99,11.76,11.54,8.73,false
M9.5e,,20.58,18.3,16.85,15.91,14.03,13.24,12.73,12.43,12.2,11.61,8.9,false
M7.5,20.29,18.87,16.24,14.95,14.24,12.67,12.03,11.63,11.38,11.18,11.13,8.82,false
M8,20.52,18.96,16.33,14.98,14.18,12.55,11.87,11.42,11.18,10.99,10.75,8.94,false
M7.3VL-G,19.77,18.46,16.05,14.95,14.35,12.89,12.28,11.91,11.71,11.46,11.32,9.08,false
M8,21.89,20.39,17.63,16.23,15.41,13.77,13.1,12.68,12.42,12.17,11.71,8.51,false
M8,21.34,19.87,17.08,15.66,14.83,13.13,12.44,11.96,11.66,11.4,10.94,8.93,false
M7beta,20.41,19.04,16.78,15.69,15.08,13.62,12.93,12.55,12.33,12.15,11.88,8.5,false
M6.5,20.42,19.16,16.63,15.5,14.93,13.6,13.09,12.75,12.55,12.27,11.57,9.27,false
M7.5,21.21,19.55,16.77,15.38,14.56,12.85,12.22,11.78,11.54,11.34,11.14,8.93,false
M7.5,21.61,20.21,17.38,16.06,15.29,13.67,13.03,12.59,12.4,12.15,11.56,8.61,false
M7.5,20.34,18.92,16.26,14.93,14.22,12.64,12.0,11.6,11.36,11.14,10.8,8.76,false
M8,21.77,20.19,17.59,16.26,15.48,13.88,13.1,12.69,12.48,12.29,11.6,8.69,false
M8,21.65,20.08,17.46,15.96,15.02,13.26,12.54,12.13,11.82,11.46,10.88,8.97,false
M8,19.8,18.2,15.6,14.24,13.43,11.76,11.07,10.64,10.35,10.16,9.9,8.47,false
M8,20.84,19.23,16.35,14.94,14.13,12.46,11.78,11.33,11.06,10.81,10.36,8.54,false
M7,19.33,17.92,15.65,14.53,13.92,12.39,11.75,11.39,11.17,10.94,10.59,8.7,false
M8,21.58,20.18,17.4,16.02,15.22,13.61,12.96,12.51,12.28,12.0,11.66,8.73,false
M8.5,19.56,18.24,15.68,14.48,13.82,12.25,11.66,11.26,11.06,10.77,10.56,8.94,false
M8,21.46,19.8,17.36,15.96,15.14,13.41,12.73,12.25,11.97,11.77,11.63,8.73,false
M9.5,,,,21.32,20.05,,,,15.26,14.54,10.95,8.78,false
M8,20.67,19.06,16.65,15.39,14.61,12.97,12.21,11.78,11.53,11.36,11.14,8.81,false
M8,18.68,17.22,14.73,13.52,12.84,11.3,10.61,10.23,9.97,9.76,9.57,8.29,false
M9,21.33,19.83,17.31,15.83,14.92,13.08,12.41,11.96,11.61,11.34,10.86,8.82,false
M8.5,20.97,19.55,16.86,15.53,14.77,13.12,12.42,12.0,11.79,11.58,11.23,8.72,false
M8.5,21.28,19.8,16.99,15.58,14.76,13.08,12.46,11.98,11.72,11.44,10.81,8.41,false
M8,21.55,20.11,17.39,16.02,15.24,13.59,12.9,12.42,12.16,11.92,11.77,8.75,false
M7.5,20.14,18.68,15.85,14.53,13.77,12.18,11.54,11.09,10.87,10.66,10.34,8.63,false
M8,22.48,20.57,17.98,16.54,15.64,13.89,13.15,12.67,12.4,12.2,11.95,9.11,false
M7.5,19.78,18.35,16.0,14.86,14.23,12.71,12.06,11.67,11.43,11.24,10.65,7.33,false
M6:gamma,21.08,19.03,16.6,15.37,14.62,12.76,11.77,11.28,11.04,10.71,10.54,8.76,false
M8.5,,20.55,17.78,16.31,15.4,13.65,12.96,12.48,12.16,11.88,11.34,8.68,false
M6.5,18.96,17.61,14.92,13.74,13.1,11.62,11.07,10.69,10.46,10.24,9.94,9.01,false
M8,21.42,19.74,16.91,15.48,14.6,12.92,12.19,11.73,11.45,11.2,10.85,8.86,false
M7,21.35,19.83,17.3,16.05,15.3,13.74,13.08,12.67,12.43,12.18,11.83,8.55,false
M8,21.22,19.62,16.87,15.45,14.59,12.9,12.2,11.78,11.48,11.21,10.75,9.1,false
M8gamma,21.63,19.46,16.6,15.08,14.13,11.88,10.62,9.95,9.73,9.27,9.07,8.17,false
M9,,20.51,17.9,16.45,15.58,13.87,13.09,12.68,12.36,12.12,11.1,8.6,false
M7,21.22,19.75,17.19,15.93,15.22,13.65,12.98,12.53,12.32,12.1,11.84,9.14,false
M6.1INT-G,18.81,17.51,15.47,14.53,14.04,12.65,12.04,11.68,11.47,11.24,11.05,9.13,false
M9gamma,21.51,19.66,16.96,15.38,14.4,12.51,11.8,11.22,10.83,10.48,10.08,8.36,false
M8,21.8,20.09,17.47,16.11,15.34,13.67,12.98,12.52,12.29,12.04,12.0,8.82,false
M7,20.73,19.37,16.65,15.45,14.78,13.26,12.61,12.22,12.02,11.79,11.31,8.09,false
M9.0VL-G,22.91,21.52,18.6,17.03,16.11,14.27,13.49,13.08,12.74,12.41,11.69,8.65,false
M9,,20.96,18.53,17.12,16.19,14.43,13.63,13.08,12.79,12.53,11.71,9.28,false
M8,20.93,19.39,16.89,15.63,14.88,13.25,12.59,12.13,11.88,11.67,11.17,8.63,false
M6.1FLD-G,20.84,,16.82,15.67,14.98,13.5,12.89,12.47,12.24,12.01,11.39,9.27,false
M8,21.52,20.33,17.51,16.19,15.33,13.69,12.96,12.53,12.25,11.98,11.54,8.86,false
M6.8FLD-G,,,14.91,13.87,13.32,11.9,11.33,10.99,10.79,10.54,10.29,9.19,false
M7.5,18.65,17.31,14.68,13.59,12.87,11.32,10.66,10.32,10.0,9.79,9.44,9.02,false
M6.5,18.93,17.62,15.16,13.98,13.34,11.88,11.23,10.9,10.65,10.4,10.1,8.34,false
M6.2VL-G,19.3,17.95,15.61,14.51,13.9,12.36,11.84,11.45,11.23,10.96,10.66,8.66,false
M8gamma,,,19.87,18.52,17.73,16.05,15.37,14.94,14.77,14.43,12.06,8.04,false
M9,21.75,19.82,17.43,15.96,15.01,13.19,12.51,11.97,11.66,11.41,10.92,9.08,false
M6,18.86,17.7,15.17,14.08,13.53,12.14,11.64,11.33,11.13,10.88,10.79,9.21,false
M8.0INT-G,,21.43,18.73,17.26,16.32,14.59,13.85,13.33,13.04,12.71,12.46,8.97,false
M8,20.67,19.13,16.43,15.04,14.19,12.53,11.87,11.46,11.19,10.94,10.81,9.18,false
M7,19.9,18.73,16.88,15.42,14.75,12.87,12.15,11.73,11.24,10.6,7.91,5.06,false
M8.5,,20.55,17.83,16.44,15.57,13.86,13.15,12.69,12.4,12.14,11.58,9.25,false
M8.5gamma,,20.94,18.14,16.55,15.54,13.6,12.9,12.37,11.98,11.62,11.22,8.5,false
M6,22.21,20.18,18.49,17.52,16.93,15.14,14.2,13.45,13.03,12.6,11.28,9.02,false
M8.5,,19.82,16.83,15.31,14.45,12.68,11.93,11.46,11.05,10.79,10.34,8.21,false
M8,21.44,19.77,17.08,15.65,14.76,13.01,12.29,11.8,11.57,11.32,10.93,9.11,false
M9.5,,20.39,17.76,16.4,15.57,13.87,13.12,12.71,12.45,12.29,11.98,8.29,false
M7.5,21.53,20.01,17.37,16.09,15.36,13.81,13.08,12.66,12.44,12.28,11.9,8.48,false
M8,20.88,19.42,16.73,15.49,14.82,13.3,12.65,12.25,12.03,11.8,11.61,8.99,false
M8,20.15,18.61,15.86,14.48,13.66,11.98,11.25,10.84,10.57,10.35,10.13,8.57,false
M6,18.97,17.66,15.62,14.69,14.22,12.8,12.23,11.94,11.65,11.45,11.2,9.17,false
M7,19.56,18.1,15.49,14.22,13.56,12.01,11.35,10.94,10.72,10.53,10.34,8.23,false
M7.5,,,20.33,18.88,18.03,16.89,15.92,15.22,15.07,14.9,12.5,8.97,false
M7,21.95,20.56,17.73,16.34,15.53,13.88,13.17,12.7,12.51,12.28,11.7,8.59,false
M9,21.21,19.4,16.84,15.43,14.51,12.74,11.93,11.45,11.14,10.98,10.68,8.93,false
M8.5,22.5,20.58,17.87,16.39,15.46,13.69,12.97,12.44,12.16,11.91,11.45,8.84,false
M8,20.09,18.48,16.03,14.64,13.84,12.17,11.46,11.05,10.79,10.58,10.28,8.84,false
M8,20.84,19.32,16.59,15.23,14.43,12.73,12.05,11.59,11.41,11.2,11.04,8.97,false
M7,19.71,18.29,15.78,14.62,13.95,12.42,11.74,11.33,11.06,10.82,10.4,8.89,false
M7,19.5,18.07,15.61,14.43,13.74,12.18,11.55,11.15,10.9,10.71,10.22,8.67,false
M9,21.92,20.55,17.88,16.43,15.53,13.79,13.1,12.62,12.2,11.95,11.57,8.53,false
M8,21.64,20.49,17.95,16.58,15.77,14.1,13.37,12.96,12.73,12.57,12.31,9.16,false
M8,21.84,20.52,17.71,16.34,15.55,13.93,13.24,12.79,12.59,12.41,11.88,8.64,false
M7,21.64,20.06,17.25,15.88,15.12,13.49,12.83,12.47,12.22,11.97,12.01,8.99,false
M7.5,19.79,18.26,15.72,14.38,13.54,11.89,11.17,10.76,10.37,10.2,10.04,8.24,false
M9,,20.51,17.69,16.24,15.35,13.62,12.96,12.45,12.15,11.89,11.37,8.22,false
M6,19.06,17.67,15.21,14.09,13.52,12.04,11.48,11.14,10.91,10.71,10.52,8.64,false
M7,20.95,19.63,17.0,15.63,14.83,13.14,12.49,12.05,11.79,11.61,11.15,8.4,false
M9,,20.54,17.82,16.37,15.48,13.75,13.09,12.59,12.29,11.99,11.34,8.21,false
M8,20.83,19.34,16.62,15.28,14.47,12.77,12.13,11.63,11.39,11.12,10.78,8.38,false
M9,19.8,17.85,15.5,14.06,13.1,11.21,10.47,9.94,9.62,9.38,8.97,8.76,false
M8.6INT-G,21.73,20.22,17.69,16.25,15.4,13.6,12.98,12.49,12.17,11.64,9.82,8.33,false
M8,21.36,19.45,16.91,15.45,14.54,12.74,12.03,11.49,11.22,10.99,10.55,8.54,false
M7,20.96,19.57,17.03,15.87,15.24,13.7,13.08,12.69,12.48,12.28,11.75,8.98,false
M9,21.14,19.8,17.29,15.91,15.08,13.4,12.63,12.14,11.85,11.67,11.51,8.94,false
M9,21.76,19.98,17.37,15.87,14.93,13.22,12.52,12.07,11.71,11.37,11.01,8.89,false
M9,,20.84,18.26,16.77,15.87,14.1,13.47,13.0,12.7,12.38,11.99,9.06,false
M8.5,21.53,19.82,17.09,15.64,14.79,13.08,12.39,11.94,11.65,11.41,11.01,8.8,false
M7,20.31,18.93,16.35,15.1,14.42,12.86,12.23,11.8,11.54,11.31,10.96,8.41,false
M7.5,,21.17,18.65,17.16,16.31,14.67,14.07,13.7,13.29,12.96,12.74,8.76,false
M7,20.21,18.79,16.34,15.22,14.57,13.04,12.41,12.01,11.82,11.61,11.23,8.84,false
M8,20.78,19.32,16.64,15.36,14.6,13.0,12.36,11.93,11.67,11.48,11.26,9.19,false
M8,,20.82,17.96,16.56,15.76,14.2,13.51,13.1,12.8,12.52,12.23,9.0,false
M8,21.29,19.7,16.85,15.42,14.6,12.92,12.26,11.8,11.54,11.29,10.92,8.9,false
M8,21.47,19.99,17.14,15.72,14.9,13.17,12.49,12.08,11.82,11.58,11.44,8.61,false
M8,20.73,19.09,16.29,14.87,14.03,12.31,11.63,11.21,10.92,10.7,10.41,9.12,false
M7,18.91,17.51,15.08,13.97,13.37,11.87,11.26,10.87,10.66,10.47,10.17,9.1,false
M6.5,20.1,18.72,16.29,15.16,14.51,13.02,12.42,12.04,11.8,11.6,11.34,8.71,false
M7,20.17,18.72,15.97,14.66,13.93,12.33,11.67,11.24,11.04,10.83,10.47,8.98,false
M7.5,19.57,18.17,15.57,14.33,13.61,12.04,11.39,10.99,10.77,10.57,10.33,8.95,false
M8,21.22,19.8,17.02,15.71,14.95,13.36,12.72,12.32,12.1,11.85,11.51,9.06,false
M8,19.46,17.99,15.49,14.28,13.58,11.99,11.33,10.96,10.72,10.51,10.25,8.34,false
M7.5,21.91,20.28,17.58,16.22,15.42,13.74,13.12,12.69,12.39,12.13,11.67,8.85,false
M7,21.27,19.82,17.13,15.81,15.04,13.39,12.74,12.26,12.07,11.86,11.37,9.03,false
M9,21.7,19.89,17.25,15.75,14.87,13.19,12.49,12.07,11.74,11.45,10.82,8.33,false
M9beta,,20.8,18.29,16.87,15.93,14.1,13.4,12.9,12.63,12.34,11.53,8.56,false
M8pec,,20.67,17.87,16.37,15.52,13.94,13.39,12.97,12.62,12.31,12.18,8.67,false
M8,19.45,18.07,15.64,14.46,13.83,12.28,11.62,11.24,10.99,10.8,10.79,9.08,false
M7,20.28,18.82,16.38,15.22,14.57,13.06,12.43,12.03,11.81,11.62,11.29,8.84,false
M8.5,22.08,20.45,17.53,16.15,15.31,13.67,12.98,12.54,12.27,12.04,11.79,9.0,false
M8,,19.56,16.83,15.41,14.57,12.79,12.12,11.63,11.42,11.17,10.89,9.14,false
M8,20.8,19.19,16.4,15.02,14.14,12.44,11.7,11.25,10.96,10.7,10.33,8.99,false
M6,19.66,18.33,15.83,14.66,14.03,12.54,11.97,11.6,11.39,11.17,11.09,8.97,false
M7.5,19.8,18.39,15.83,14.63,13.98,12.46,11.82,11.45,11.24,11.01,10.75,8.72,false
M8,21.09,19.38,16.62,15.18,14.31,12.55,11.87,11.37,11.09,10.88,10.46,8.95,false
M6.5,20.03,18.66,15.84,14.6,13.89,12.33,11.72,11.33,11.11,10.89,10.7,8.5,false
M7,20.39,18.91,16.46,15.26,14.59,12.97,12.32,11.91,11.69,11.52,11.2,8.95,false
M8,20.2,18.6,15.97,14.5,13.64,11.93,11.23,10.74,10.35,10.07,9.6,8.58,false
M7,21.72,20.17,17.56,16.33,15.63,14.0,13.3,12.81,12.54,12.3,12.0,8.48,false
M8,21.2,19.66,16.86,15.51,14.7,13.02,12.37,11.95,11.59,11.4,11.23,8.88,false
M7,20.87,19.55,16.95,15.62,14.91,13.38,12.77,12.37,12.11,11.89,11.38,9.13,false
M8,21.15,19.84,17.3,16.05,15.34,13.8,13.09,12.73,12.46,12.24,12.07,8.93,false
M9,21.03,19.4,16.81,15.43,14.56,12.85,12.18,11.67,11.44,11.25,11.15,8.93,false
M7.5,21.32,19.72,16.83,15.43,14.61,12.92,12.29,11.84,11.58,11.35,10.86,8.87,false
M7.5,21.06,19.44,16.54,15.11,14.3,12.63,12.0,11.57,11.3,11.05,10.71,8.41,false
M7,20.7,19.27,16.68,15.47,14.82,13.27,12.64,12.27,12.06,11.84,11.87,8.71,false
M8,,19.96,17.53,16.08,15.16,13.4,12.69,12.17,11.88,11.64,11.1,8.95,false
M9,,21.31,18.64,17.21,16.38,14.67,14.13,13.71,13.4,13.05,11.72,8.93,false
M9,21.46,19.66,17.08,15.67,14.78,13.03,12.26,11.78,11.44,11.23,10.87,8.82,false
M9,21.55,19.91,17.1,15.69,14.87,13.16,12.52,11.99,11.81,11.56,11.44,8.57,false
M8,21.54,19.98,17.38,16.03,15.25,13.58,12.85,12.43,12.2,12.05,11.87,8.43,false
sdL7,,,20.73,18.65,17.57,15.61,14.68,14.44,13.7,13.36,12.14,9.01,false
M9,,20.77,18.21,16.73,15.73,13.93,13.26,12.76,12.35,12.01,11.28,8.89,false
M7,20.83,19.39,16.53,15.2,14.47,12.86,12.26,11.86,11.64,11.42,11.41,8.77,false
M7,21.13,20.09,17.64,16.52,15.86,14.47,13.9,13.52,13.03,12.76,12.3,8.87,false
M7,20.95,19.5,17.09,15.91,15.25,13.69,13.05,12.69,12.43,12.26,12.34,9.04,false
